iter	Passed	Remaining
604	1652	1078
605	1654	1076
606	1657	1073
607	1660	1070
608	1663	1068
609	1666	1065
610	1669	1062
611	1672	1060
612	1675	1057
613	1678	1055
614	1681	1052
615	1683	1049
616	1687	1047
617	1690	1044
618	1693	1042
619	1695	1039
620	1698	1036
621	1701	1033
622	1704	1031
623	1706	1028
624	1709	1025
625	1712	1022
626	1714	1019
627	1717	1017
628	1719	1014
629	1722	1011
630	1725	1008
631	1727	1006
632	1730	1003
633	1733	1000
634	1736	997
635	1738	995
636	1741	992
637	1744	989
638	1747	987
639	1750	984
640	1752	981
641	1755	978
642	1757	976
643	1760	973
644	1763	970
645	1766	967
646	1768	965
647	1771	962
648	1774	959
649	1777	956
650	1779	954
651	1782	951
652	1785	948
653	1788	945
654	1791	943
655	1793	940
656	1796	937
657	1798	934
658	1801	932
659	1804	929
660	1807	926
661	1810	924
662	1812	921
663	1815	918
664	1818	916
665	1821	913
666	1823	910
667	1826	907
668	1829	904
669	1832	902
670	1834	899
671	1837	896
672	1840	894
673	1842	891
674	1845	888
675	1848	885
676	1850	883
677	1853	880
678	1856	877
679	1859	874
680	1861	872
681	1864	869
682	1867	866
683	1869	863
684	1872	861
685	1875	858
686	1877	855
687	1880	852
688	1883	850
689	1885	847
690	1888	844
691	1891	841
692	1893	838
693	1896	836
694	1899	833
695	1901	830
696	1904	828
697	1907	825
698	1910	822
699	1913	819
700	1915	817
701	1918	814
702	1921	811
703	1924	809
704	1926	806
705	1928	803
706	1931	800
707	1934	797
708	1936	794
709	1939	792
710	1942	789
711	1945	786
712	1948	784
713	1950	781
714	1953	778
715	1956	775
716	1958	773
717	1961	770
718	1964	767
719	1966	764
720	1969	762
721	1972	759
722	1975	756
723	1978	754
724	1980	751
725	1983	748
726	1986	745
727	1989	743
728	1991	740
729	1994	737
730	1997	735
731	2000	732
732	2003	729
733	2006	727
734	2009	724
735	2012	721
736	2014	719
737	2017	716
738	2020	713
739	2023	710
740	2026	708
741	2029	705
742	2032	702
743	2034	700
744	2037	697
745	2041	694
746	2043	692
747	2047	689
748	2049	686
749	2053	684
750	2056	681
751	2059	679
752	2062	676
753	2064	673
754	2067	670
755	2070	668
756	2073	665
757	2076	662
758	2079	660
759	2082	657
760	2085	655
761	2088	652
762	2091	649
763	2093	646
764	2096	644
765	2100	641
766	2102	638
767	2105	636
768	2108	633
769	2111	630
770	2114	627
771	2116	625
772	2119	622
773	2121	619
774	2124	616
775	2127	614
776	2129	611
777	2132	608
778	2135	605
779	2138	603
780	2140	600
781	2143	597
782	2146	594
783	2151	592
784	2154	590
785	2157	587
786	2160	584
787	2163	582
788	2166	579
789	2169	576
790	2171	573
791	2174	571
792	2176	568
793	2179	565
794	2182	562
795	2184	559
796	2187	557
797	2189	554
798	2192	551
799	2194	548
800	2197	546
801	2200	543
802	2202	540
803	2205	537
804	2208	534
805	2210	532
806	2213	529
807	2215	526
808	2218	523
809	2221	520
810	2223	518
811	2226	515
812	2229	512
813	2232	510
814	2234	507
815	2237	504
816	2240	501
817	2242	498
818	2244	496
819	2247	493
820	2250	490
821	2253	487
822	2255	485
823	2258	482
824	2261	479
825	2263	476
826	2266	474
827	2269	471
828	2271	468
829	2274	465
830	2277	463
831	2280	460
832	2282	457
833	2285	454
834	2288	452
835	2291	449
836	2293	446
837	2296	443
838	2298	441
839	2301	438
840	2304	435
841	2307	432
842	2310	430
843	2312	427
844	2315	424
845	2318	422
846	2320	419
847	2323	416
848	2326	413
849	2328	410
850	2331	408
851	2334	405
852	2337	402
853	2339	400
854	2342	397
855	2345	394
856	2348	391
857	2350	389
858	2353	386
859	2356	383
860	2359	380
861	2362	378
862	2364	375
863	2367	372
864	2370	369
865	2373	367
866	2375	364
867	2378	361
868	2381	358
869	2383	356
870	2386	353
871	2389	350
872	2391	347
873	2394	345
874	2397	342
875	2400	339
876	2403	337
877	2405	334
878	2408	331
879	2411	328
880	2414	326
881	2416	323
882	2419	320
883	2422	317
884	2424	315
885	2427	312
886	2430	309
887	2433	306
888	2437	304
889	2440	301
890	2443	298
891	2445	296
892	2448	293
893	2452	290
894	2456	288
895	2459	285
896	2462	282
897	2465	280
898	2468	277
899	2471	274
900	2474	271
901	2477	269
902	2480	266
903	2484	263
904	2487	261
905	2489	258
906	2492	255
907	2495	252
908	2498	250
909	2501	247
910	2504	244
911	2506	241
912	2509	239
913	2512	236
914	2515	233
915	2518	230
916	2520	228
917	2523	225
918	2526	222
919	2529	219
920	2532	217
921	2535	214
922	2537	211
923	2540	208
924	2543	206
925	2546	203
926	2548	200
927	2551	197
928	2554	195
929	2557	192
930	2559	189
931	2562	186
932	2565	184
933	2568	181
934	2570	178
935	2573	175
936	2576	173
937	2579	170
938	2581	167
939	2584	164
940	2587	162
941	2590	159
942	2593	156
943	2595	153
944	2598	151
945	2601	148
946	2604	145
947	2606	142
948	2609	140
949	2612	137
950	2615	134
951	2617	131
952	2620	129
953	2623	126
954	2626	123
955	2629	121
956	2631	118
957	2634	115
958	2636	112
959	2639	109
960	2642	107
961	2645	104
962	2647	101
963	2650	98
964	2653	96
965	2656	93
966	2658	90
967	2661	87
968	2664	85
969	2667	82
970	2670	79
971	2672	76
972	2675	74
973	2678	71
974	2681	68
975	2684	66
976	2687	63
977	2690	60
978	2692	57
979	2695	55
980	2698	52
981	2701	49
982	2704	46
983	2707	44
984	2710	41
985	2713	38
986	2715	35
987	2718	33
988	2721	30
989	2724	27
990	2726	24
991	2729	22
992	2732	19
993	2735	16
994	2738	13
995	2740	11
996	2743	8
997	2746	5
998	2749	2
999	2752	0
