iter	Passed	Remaining
663	2636	1334
664	2639	1329
665	2642	1325
666	2644	1320
667	2647	1315
668	2650	1311
669	2653	1306
670	2656	1302
671	2659	1298
672	2662	1293
673	2664	1288
674	2667	1284
675	2670	1280
676	2673	1275
677	2676	1270
678	2678	1266
679	2681	1261
680	2684	1257
681	2687	1253
682	2690	1248
683	2692	1244
684	2695	1239
685	2698	1235
686	2701	1230
687	2704	1226
688	2706	1221
689	2709	1217
690	2712	1212
691	2715	1208
692	2717	1204
693	2720	1199
694	2723	1195
695	2726	1190
696	2729	1186
697	2731	1181
698	2734	1177
699	2737	1173
700	2740	1168
701	2743	1164
702	2745	1160
703	2748	1155
704	2751	1151
705	2754	1146
706	2757	1142
707	2760	1138
708	2763	1134
709	2765	1129
710	2768	1125
711	2771	1121
712	2774	1116
713	2777	1112
714	2779	1108
715	2783	1103
716	2786	1099
717	2788	1095
718	2791	1091
719	2794	1086
720	2797	1082
721	2800	1078
722	2802	1073
723	2805	1069
724	2808	1065
725	2812	1061
726	2815	1057
727	2818	1053
728	2821	1048
729	2824	1044
730	2827	1040
731	2831	1036
732	2833	1032
733	2836	1027
734	2839	1023
735	2842	1019
736	2844	1015
737	2847	1010
738	2850	1006
739	2853	1002
740	2855	998
741	2859	994
742	2862	989
743	2864	985
744	2867	981
745	2870	977
746	2873	973
747	2876	969
748	2879	964
749	2882	960
750	2884	956
751	2888	952
752	2890	948
753	2893	944
754	2896	939
755	2899	935
756	2902	931
757	2904	927
758	2907	923
759	2910	919
760	2913	914
761	2916	910
762	2919	906
763	2921	902
764	2924	898
765	2927	894
766	2930	890
767	2933	886
768	2935	881
769	2938	877
770	2941	873
771	2944	869
772	2947	865
773	2950	861
774	2953	857
775	2956	853
776	2959	849
777	2962	845
778	2965	841
779	2968	837
780	2971	833
781	2974	829
782	2977	825
783	2980	821
784	2982	816
785	2985	812
786	2989	809
787	2992	804
788	2994	800
789	2997	796
790	3000	792
791	3003	788
792	3007	784
793	3009	780
794	3012	776
795	3014	772
796	3017	768
797	3020	764
798	3023	760
799	3026	756
800	3028	752
801	3031	748
802	3034	744
803	3037	740
804	3039	736
805	3042	732
806	3045	728
807	3048	724
808	3051	720
809	3054	716
810	3056	712
811	3059	708
812	3062	704
813	3065	700
814	3067	696
815	3070	692
816	3073	688
817	3075	684
818	3078	680
819	3081	676
820	3084	672
821	3087	668
822	3090	664
823	3093	660
824	3097	656
825	3099	652
826	3102	649
827	3106	645
828	3109	641
829	3112	637
830	3116	633
831	3120	630
832	3124	626
833	3127	622
834	3130	618
835	3134	614
836	3137	611
837	3140	607
838	3143	603
839	3145	599
840	3149	595
841	3152	591
842	3155	587
843	3157	583
844	3160	579
845	3163	575
846	3166	571
847	3169	568
848	3171	564
849	3174	560
850	3177	556
851	3180	552
852	3183	548
853	3186	544
854	3189	540
855	3192	536
856	3195	533
857	3198	529
858	3200	525
859	3203	521
860	3206	517
861	3209	513
862	3212	509
863	3214	506
864	3217	502
865	3220	498
866	3223	494
867	3226	490
868	3229	486
869	3232	482
870	3234	479
871	3237	475
872	3240	471
873	3243	467
874	3246	463
875	3248	459
876	3251	456
877	3254	452
878	3257	448
879	3260	444
880	3263	440
881	3266	437
882	3269	433
883	3272	429
884	3275	425
885	3278	421
886	3281	418
887	3284	414
888	3287	410
889	3289	406
890	3292	402
891	3295	399
892	3298	395
893	3300	391
894	3303	387
895	3306	383
896	3309	379
897	3312	376
898	3314	372
899	3317	368
900	3320	364
901	3323	361
902	3326	357
903	3329	353
904	3331	349
905	3334	345
906	3337	342
907	3340	338
908	3343	334
909	3346	330
910	3349	327
911	3352	323
912	3356	319
913	3358	316
914	3361	312
915	3364	308
916	3368	304
917	3371	301
918	3374	297
919	3376	293
920	3379	289
921	3383	286
922	3386	282
923	3389	278
924	3391	275
925	3395	271
926	3398	267
927	3400	263
928	3403	260
929	3406	256
930	3408	252
931	3411	248
932	3414	245
933	3417	241
934	3420	237
935	3423	234
936	3426	230
937	3429	226
938	3432	222
939	3435	219
940	3438	215
941	3442	211
942	3445	208
943	3448	204
944	3451	200
945	3454	197
946	3458	193
947	3461	189
948	3464	186
949	3467	182
